Node Name,Op Type,Activation,Weights,Bias
/model.23/cv3.1/cv3.1.1/cv3.1.1.0/act/Sigmoid,Sigmoid,UINT16,,
/model.22/m.0/cv1/conv/Conv,Conv,UINT16,INT16,INT32
/model.22/m.0/cv2/conv/Conv,Conv,UINT16,INT16,INT32
/model.23/cv3.1/cv3.1.1/cv3.1.1.0/act/Mul,Mul,UINT16,,
/model.22/m.0/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.22/m.0/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.23/cv3.1/cv3.1.1/cv3.1.1.1/conv/Conv,Conv,UINT16,INT16,INT32
/model.22/m.0/cv1/act/Mul,Mul,UINT16,,
/model.22/m.0/cv2/act/Mul,Mul,UINT16,,
/model.23/cv3.1/cv3.1.1/cv3.1.1.1/act/Sigmoid,Sigmoid,UINT16,,
/model.22/m.0/m/m.0/cv1/conv/Conv,Conv,UINT16,INT16,INT32
/model.23/cv3.1/cv3.1.1/cv3.1.1.1/act/Mul,Mul,UINT16,,
/model.22/m.0/m/m.0/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.23/cv3.1/cv3.1.2/Conv,Conv,UINT16,INT16,INT32
/model.22/m.0/m/m.0/cv1/act/Mul,Mul,UINT16,,
/model.23/Concat_1,Concat,UINT16,,
/model.22/m.0/m/m.0/cv2/conv/Conv,Conv,UINT16,INT16,INT32
/model.23/Reshape_1,Reshape,UINT16,,
/model.22/m.0/m/m.0/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.22/m.0/m/m.0/cv2/act/Mul,Mul,UINT16,,
/model.22/m.0/m/m.0/Add,Add,UINT16,,
/model.22/m.0/m/m.1/cv1/conv/Conv,Conv,UINT16,INT16,INT32
/model.22/m.0/m/m.1/cv1/act/Sigmoid,Sigmoid,UINT16,,
/model.22/m.0/m/m.1/cv1/act/Mul,Mul,UINT16,,
/model.22/m.0/m/m.1/cv2/conv/Conv,Conv,UINT16,INT16,INT32
/model.22/m.0/m/m.1/cv2/act/Sigmoid,Sigmoid,UINT16,,
/model.22/m.0/m/m.1/cv2/act/Mul,Mul,UINT16,,
/model.22/m.0/m/m.1/Add,Add,UINT16,,
